"","duration","count","region"
"1",0,54,"Asia"
"2",0,23,"Europe"
"3",0,285,"North America"
"4",0,1,"Oceania"
"5",0,2,"South America"
"6",1,2,"Africa"
"7",1,460,"Asia"
"8",1,92,"Europe"
"9",1,191,"North America"
"10",1,1,"Oceania"
"11",1,1,"South America"
"12",2,27,"Asia"
"13",2,9,"Europe"
"14",2,129,"North America"
"15",2,3,"Oceania"
"16",2,19,"South America"
"17",3,14,"Europe"
"18",3,84,"North America"
"19",3,7,"South America"
"20",4,1,"Africa"
"21",4,1,"Asia"
"22",4,1,"Europe"
"23",4,23,"North America"
"24",4,6,"Oceania"
"25",5,12,"Europe"
"26",5,12,"North America"
"27",5,1,"Oceania"
"28",6,12,"Europe"
"29",6,16,"North America"
"30",7,19,"Europe"
"31",7,6,"North America"
"32",7,1,"Oceania"
"33",8,6,"Europe"
"34",8,19,"North America"
"35",9,3,"Asia"
"36",9,42,"Europe"
"37",9,13,"North America"
"38",10,35,"Asia"
"39",10,18,"Europe"
"40",10,20,"North America"
"41",11,2,"Asia"
"42",11,1,"Europe"
"43",11,16,"North America"
"44",12,7,"Asia"
"45",12,31,"North America"
"46",12,2,"South America"
"47",13,1,"Africa"
"48",13,12,"North America"
"49",14,2,"Asia"
"50",14,2,"Europe"
"51",14,17,"North America"
"52",14,2,"South America"
"53",15,1,"Europe"
"54",15,9,"North America"
"55",16,1,"Europe"
"56",16,12,"North America"
"57",17,11,"North America"
"58",18,11,"Europe"
"59",18,14,"North America"
"60",19,1,"Europe"
"61",19,20,"North America"
"62",20,47,"North America"
"63",21,1,"Europe"
"64",21,51,"North America"
"65",22,2,"Europe"
"66",22,56,"North America"
"67",23,2,"Europe"
"68",23,29,"North America"
"69",24,8,"North America"
"70",25,4,"North America"
"71",26,1,"Europe"
"72",26,8,"North America"
"73",27,9,"North America"
"74",28,9,"North America"
"75",29,10,"North America"
"76",30,5,"North America"
"77",31,7,"North America"
"78",32,6,"North America"
"79",33,6,"North America"
"80",34,4,"North America"
"81",35,5,"North America"
"82",41,1,"North America"
"83",42,1,"North America"
"84",43,1,"North America"
